地址,房子朝向,租贷类型,户型,楼层,住房面积,价格（元/月）,来源,特点,是否精选,Cluster
丰台-马家堡-东亚三环,东南,整租,3房间1卫,21,81.71,7500,链家,"官方核验,业主自荐,新上,近地铁,集中供暖",0,1
朝阳-潘家园-百环花园,东南,整租,2室1厅1卫,28,114.12,6900,贝壳优选,"押一付一,随时看房,首次出租",0,1
丰台-花乡-天伦锦城,南,整租,2室1厅1卫,13,86.32,5700,贝壳优选,"新上,精装,集中供暖,押一付一,随时看房",0,0
朝阳-甘露园-康家园,南北,整租,1室1厅1卫,6,42.72,5950,链家,"官方核验,业主自荐,新上,精装,集中供暖",0,0
顺义-后沙峪-空港吉祥花园,南,整租,2室1厅1卫,11,73.72,5300,贝壳优选,"近地铁,集中供暖,押一付一,随时看房,首次出租",0,0
朝阳-大望路-易构空间,西南,整租,2室2厅1卫,28,103.49,9200,贝壳优选,"近地铁,精装,集中供暖,押一付一,随时看房",0,1
朝阳-小红门-江南山水,南北,整租,3室2厅2卫,12,132.63,8500,链家,"官方核验,业主自荐,新上,精装,集中供暖,双卫生间",0,0
石景山-鲁谷-远洋山水,西南,整租,2室1厅1卫,25,118.16,8100,贝壳优选,"精装,集中供暖,押一付一,随时看房,首次出租",0,1
朝阳-惠新西街-千鹤家园,北,整租,1室1厅1卫,25,71.88,8280,贝壳优选,"近地铁,精装,集中供暖,押一付一,随时看房,首次出租",0,1
朝阳-豆各庄-青荷里宸欣园,南北,整租,3室1厅1卫,29,106.0,6000,链家,"官方核验,业主自荐,新上,精装,集中供暖",0,1
朝阳-和平里-和平街十区,南北,整租,2室1厅1卫,5,56.61,7400,贝壳优选,"新上,近地铁,精装,集中供暖,押一付一,随时看房",0,0
丰台-马家堡-东亚三环,东南,整租,3房间1卫,21,81.71,7500,链家,"官方核验,业主自荐,新上,近地铁,集中供暖",0,1
大兴-大兴机场空港-空港华苑2号院,南北,整租,2室1厅1卫,18,89.81,1780,贝壳优选,"月租,精装,集中供暖,押一付一,随时看房",0,1
丰台-七里庄-小井润园一区,南,整租,2室1厅1卫,20,93.48,7600,链家,"官方核验,业主自荐,新上,精装",0,1
朝阳-东大桥-工体东路,东北,整租,2室1厅1卫,14,58.82,6500,链家,"官方核验,新上,近地铁,精装,集中供暖,随时看房",0,0
海淀-海淀北部新区-万和嘉园一区,北,合租,3居室,18,13.8,2000,房小满,"公寓,月租,精装,押一付一,随时看房",0,1
海淀-五棵松-金沟河2号院,东西,整租,2室1厅1卫,6,55.3,6000,链家,"官方核验,新上,近地铁,精装,集中供暖",0,0
东城-东花市-富贵园二区,东,整租,2室1厅1卫,18,73.39,7300,链家,"官方核验,业主自荐,精装,集中供暖,随时看房",0,1
海淀-海淀北部新区-万和嘉园二区,南,合租,3居室,15,13.14,2280,房小满,"新上,公寓,月租,精装,押一付一,随时看房",0,0
通州-武夷花园-京贸国际城,东北,整租,2室1厅1卫,26,79.74,4900,链家,"官方核验,业主自荐,新上,精装,集中供暖",0,1
昌平-沙河-恒大幸福家园,南北,整租,3室1厅1卫,24,89.67,4700,贝壳优选,"月租,集中供暖,押一付一,随时看房",0,1
朝阳-常营-北京像素北区,西北,整租,2房间2卫,13,40.0,4600,贝壳优选,"近地铁,精装,集中供暖,押一付一,双卫生间,随时看房",0,0
朝阳-华威桥-双龙南里,南,整租,1室1厅1卫,18,41.19,5000,链家,"官方核验,业主自荐,新上,精装,集中供暖",0,1
房山-长阳-金地朗悦沁园,南北,整租,3室2厅1卫,6,89.0,4100,贝壳优选,"精装,集中供暖,押一付一,随时看房",0,0
海淀-清河-小营东路6号院,东南北,整租,3室0厅1卫,5,56.0,6800,贝壳优选,"月租,近地铁,精装,集中供暖,押一付一,随时看房",0,0
房山-长阳-中海寰宇视界,南北,整租,3室2厅3卫,18,155.0,7500,链家,"官方核验,业主自荐,新上,近地铁,精装,集中供暖",0,1
石景山-苹果园-海特花园西区,东西,整租,1室1厅1卫,6,54.0,4562,贝壳优选,"近地铁,精装,集中供暖,押一付一,随时看房",0,0
顺义-后沙峪-三山新新家园,南北,整租,3室1厅1卫,6,112.0,4790,贝壳优选,"新上,月租,精装,集中供暖,押一付一,随时看房",0,0
海淀-定慧寺-玲珑苑,西北,整租,1室1厅1卫,20,58.0,8000,链家,"官方核验,业主自荐,新上,近地铁,精装,集中供暖",0,1
海淀-海淀北部新区-万和嘉园一区,北,合租,5居室,21,6.73,1400,房小满,"新上,公寓,月租,精装,押一付一,随时看房",0,1
通州-梨园-时尚街区东区,西南,整租,1室1厅1卫,10,53.1,3600,链家,"官方核验,业主自荐,新上,精装,集中供暖,随时看房",0,0
朝阳-建国门外-东方瑞景,东,整租,2室1厅2卫,27,138.9,14800,链家,"官方核验,业主自荐,精装,集中供暖,双卫生间",0,1
海淀-皂君庙-青年公寓,南,整租,1室1厅1卫,17,42.17,6200,链家,"官方核验,业主自荐,新上,精装,集中供暖",0,1
朝阳-东大桥-旺座中心公寓,东北,整租,2室1厅2卫,30,157.0,18000,链家,"官方核验,精装,集中供暖,双卫生间",0,1
海淀-清河-莱圳家园,南,整租,2室1厅1卫,15,74.0,7500,链家,"官方核验,业主自荐,新上,近地铁,精装,集中供暖",0,1
昌平-回龙观-龙华园,南北,整租,2室1厅1卫,6,70.0,5800,链家,"官方核验,业主自荐,新上,精装,集中供暖,随时看房",0,0
朝阳-望京-花家地西里一区,南,整租,1室1厅1卫,18,51.47,6400,链家,"官方核验,业主自荐,近地铁,集中供暖",0,1
西城-小西天-西直门北滨河路2号院,东西,整租,2室1厅1卫,9,92.0,10500,链家,"官方核验,业主自荐,新上,近地铁,精装,集中供暖",0,0
海淀-双榆树-双榆树西里,南,整租,2室1厅1卫,16,58.72,8500,链家,"官方核验,业主自荐,新上,近地铁,精装,集中供暖",0,1
朝阳-望京-望京明苑,南,合租,3居室,28,27.0,2600,无忧吾寓,"租住保障,近地铁,精装,独立阳台,集中供暖,押一付一,随时看房",0,1
朝阳-华威桥-双龙南里,南,整租,1室1厅1卫,18,41.19,5000,链家,"官方核验,业主自荐,新上,精装,集中供暖",0,1
昌平-西关环岛-西环里,南,整租,2室1厅1卫,6,57.0,3090,贝壳优选,"精装,集中供暖,押一付一,随时看房",0,0
通州-武夷花园-京贸国际城,东北,整租,2室1厅1卫,26,79.74,4900,链家,"官方核验,业主自荐,新上,精装,集中供暖",0,1
房山-长阳-中海寰宇视界,南北,整租,3室2厅3卫,18,155.0,7500,链家,"官方核验,业主自荐,新上,近地铁,精装,集中供暖",0,1
大兴-高米店-华远西红世商业,东,整租,2房间1卫,12,48.65,3000,贝壳优选,"新上,精装,集中供暖,押一付一,随时看房,首次出租",0,0
海淀-海淀北部新区-唐家岭新城,南,合租,3居室,17,18.0,2900,信安家,"新上,公寓,独立卫生间,月租,精装",1,1
通州-梨园-时尚街区东区,西南,整租,1室1厅1卫,10,53.1,3600,链家,"官方核验,业主自荐,新上,精装,集中供暖,随时看房",0,0
朝阳-建国门外-东方瑞景,东,整租,2室1厅2卫,27,138.9,14800,链家,"官方核验,业主自荐,精装,集中供暖,双卫生间",0,1
通州-临河里-金隅自由筑,西,整租,2房间1卫,7,53.0,2678,贝壳优选,"新上,月租,集中供暖,押一付一,随时看房",0,0
朝阳-东大桥-旺座中心公寓,东北,整租,2室1厅2卫,30,157.0,18000,链家,"官方核验,精装,集中供暖,双卫生间",0,1
海淀-清河-莱圳家园,南,整租,2室1厅1卫,15,74.0,7500,链家,"官方核验,业主自荐,新上,近地铁,精装,集中供暖",0,1
朝阳-惠新西街-城市出品,东,整租,1室1厅1卫,16,53.66,6300,贝壳优选,"新上,近地铁,精装,集中供暖,押一付一,随时看房,首次出租",0,1
朝阳-望京-花家地西里一区,南,整租,1室1厅1卫,18,51.47,6400,链家,"官方核验,业主自荐,近地铁,集中供暖",0,1
房山-阎村-绿城百合公寓南区,南北,整租,3室2厅2卫,6,153.26,5800,链家,"官方核验,业主自荐,新上,精装,双卫生间",0,0
石景山-五里坨-绿地·京西景园,南,整租,1室1厅1卫,28,50.67,2940,贝壳优选,"新上,集中供暖,押一付一,随时看房,首次出租",0,1
门头沟-上岸地铁-远洋新天地,东北,合租,3居室,11,15.0,1499,家家公寓北京,"公寓,独立卫生间,月租,精装,集中供暖,押一付一,随时看房",1,0
丰台-科技园区-育仁里2号院,南北,整租,2室1厅1卫,6,60.0,5800,链家,"官方核验,新上,近地铁,精装,集中供暖,随时看房",0,0
海淀-双榆树-双榆树西里,南,整租,2室1厅1卫,16,58.72,8500,链家,"官方核验,业主自荐,新上,近地铁,精装,集中供暖",0,1
